part_number,description,supplier_code,category_code,quantity,cost,price,margin,margin_percent,supplier_from_group
106010,LADDER - LOW PROFILE,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
106170,CANVAS - 2020 SEAT,BAR,ACC,0.0,995.0,1599.0,604.0,37.77,BAR
106191,STEREO - HMR20,BAR,ACC,0.0,265.0,449.99,184.99,41.1,BAR
106239W,CHARGER - V/L/X/C CLS,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
106293W,RIGGING - MERCURY,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
106296,HELM - X CLS DASH,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
106311,HORN - UNDER DECK,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
106427,FURNITURE - 21/22,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
106439,FURNITURE- 2021 L CLS,BAR,ACC,0.0,175.0,1749.0,1574.0,89.99,BAR
106453,FURNITURE - 2021 L CLS,BAR,ACC,0.0,475.0,799.99,324.99,40.62,BAR
106455,FURNITURE - L CLASS,BAR,ACC,0.0,495.0,824.99,329.99,39.99,BAR
106461,DASH - LED KNOB,BAR,ACC,0.0,112.0,189.99,77.99,41.04,BAR
106481,FURNITRE-2021 C22UC,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
106495,FURNITURE - 2021 C CLS,BAR,ACC,0.0,500.0,849.99,349.99,41.17,BAR
106499,"FURNITURE, 2021 C",BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
106501,2021 C CLS HELM CHAIR,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
106528,DECAL - X CLS 23' MODEL,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
106534,DECAL - X CLS U MODEL,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
106632,TANK - X CLS 53 GAL,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
106656,HELM - CORSA GLOVE,BAR,ACC,0.0,22.0,36.99,14.99,40.52,BAR
106658,GAUGE-21-CURR,BAR,ACC,0.0,150.0,250.0,100.0,40.0,BAR
106659,GAUGE-21-CURR.,BAR,ACC,0.0,100.0,165.0,65.0,39.39,BAR
106741,DECALS - L CLS AC BOW,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
106755,DECAL - X CLS AC VENTS,BAR,ACC,0.0,105.0,175.0,70.0,40.0,BAR
106756,DECAL - X CLS AC,BAR,ACC,0.0,56.0,93.5,37.5,40.1,BAR
107094,BIMINI - MED SUN SHADE,BAR,ACC,0.0,1800.0,2999.99,1199.99,39.99,BAR
107105,LID - SKI STORAGE LID,BAR,ACC,0.0,300.0,499.0,199.0,39.87,BAR
107105W,LID - SKI STORAGE LID,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
107106W,LID - SKI STG -,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
107111,LID - COOLER STORAGE,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
107112,LID - COOL/ANCH,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
107112W,LID - COOL/ANCH STG -,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
107187,STANCHION - CORSA NON,BAR,ACC,0.0,850.0,1419.99,569.99,40.14,BAR
107188,STANCHION - C Cls BENT,BAR,ACC,0.0,750.0,1249.99,499.99,39.99,BAR
107189,STANCHION - L CLS BENT,BAR,ACC,0.0,750.0,1249.0,499.0,39.95,BAR
107276,SWITCH - MY21 L CLS,BAR,ACC,0.0,155.0,259.99,104.99,40.38,BAR
107276W,SWITCH - MY21 L CLS,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
107277W,SWITCH - BATTERY,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
107331,RIGGING - FLO TORQ HUB,BAR,ACC,0.0,61.0,94.99,33.99,35.78,BAR
107446,UNIT-X CLS GRAY UE 24,BAR,ACC,0.0,775.0,1300.0,525.0,40.38,BAR
